block,week,n_test,auc,mae_pnl,clf_conf_ev_0.15_roi,clf_conf_ev_0.15_n,reg_pnl_0.05_roi,reg_pnl_0.05_n,reg_pnl_0.10_roi,reg_pnl_0.10_n,reg_pnl_0.20_roi,reg_pnl_0.20_n,dual_cev_reg_top50_roi,dual_cev_reg_top50_n,dual_cev_reg_top75_roi,dual_cev_reg_top75_n
0,202603,1629,0.8069,0.8049,-24.56,112,-5.36,474,-15.89,286,-29.82,126,-13.4,176,1.25,263
1,202604,1677,0.7819,0.8299,-0.65,114,3.53,411,9.08,169,17.28,55,11.23,214,6.27,320
2,202605,1312,0.7378,0.9617,1.91,110,8.09,398,12.25,210,4.84,59,-0.46,197,-3.58,295
3,202606,7053,0.7468,0.9304,35.22,708,-2.97,1476,-9.79,740,-21.11,282,0.5,1167,-5.25,1750
4,202607,24378,0.7405,0.9018,8.15,2722,1.85,9206,2.85,4667,9.01,1400,3.87,4494,2.72,6741
5,202608,32074,0.759,0.8714,10.84,2350,-9.08,7776,-19.75,2847,-15.91,1223,-10.85,5117,-6.87,7675
