block,week,odds,target,pnl,sport
3,202606,5.405,0,-1.0,CS2
3,202606,96.125,0,-1.0,Soccer
3,202606,1.9,1,0.8999999999999999,Soccer
3,202606,2.1,1,1.1,Soccer
3,202606,5.5606,0,-1.0,Soccer
3,202606,1.85,1,0.8500000000000001,Soccer
3,202606,2.05,0,-1.0,Soccer
3,202606,1.8,1,0.8,Basketball
3,202606,1.91,1,0.9099999999999999,Basketball
3,202606,1.83,1,0.8300000000000001,Basketball
3,202606,1.9,0,-1.0,Basketball
3,202606,2.01,1,1.0099999999999998,Basketball
3,202606,121.1301,0,-1.0,Ice Hockey
3,202606,111.4754,0,-1.0,Ice Hockey
3,202606,1.95,1,0.95,Basketball
3,202606,85.0079,0,-1.0,Soccer
3,202606,77.0372,0,-1.0,Soccer
3,202606,201.0,0,-1.0,Soccer
3,202606,126.0,0,-1.0,Soccer
3,202606,151.0,0,-1.0,Soccer
3,202606,251.0,0,-1.0,Soccer
3,202606,233.8875,0,-1.0,Soccer
3,202606,109.12,0,-1.0,Soccer
3,202606,206.166,0,-1.0,Super Bowl LX
3,202606,77.3359,0,-1.0,Basketball
3,202606,153.79,0,-1.0,Soccer
3,202606,252.0,0,-1.0,Soccer
3,202606,1.96,1,0.96,Soccer
3,202606,150.8289,0,-1.0,Soccer
3,202606,2.0,0,-1.0,Soccer
3,202606,1.61,1,0.6100000000000001,Soccer
3,202606,2.05,1,1.0499999999999998,Soccer
3,202606,1.55,1,0.55,Soccer
3,202606,63.92,0,-1.0,CS2
3,202606,2.7,0,-1.0,CS2
3,202606,2.7,0,-1.0,CS2
3,202606,2.7,0,-1.0,CS2
3,202606,3.8285,0,-1.0,Soccer
3,202606,780.8491,0,-1.0,Basketball
3,202606,1.7,0,-1.0,Soccer
3,202606,2.05,0,-1.0,Soccer
3,202606,1.95,1,0.95,Soccer
3,202606,850.5538,0,-1.0,Soccer
3,202606,62.238,0,-1.0,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,2.0,0,-1.0,Basketball
3,202606,2.05,0,-1.0,Basketball
3,202606,2.2,0,-1.0,Basketball
3,202606,1.9,1,0.8999999999999999,Basketball
3,202606,1.9,1,0.8999999999999999,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,1.84,0,-1.0,Basketball
3,202606,2.4,1,1.4,Basketball
3,202606,1.9,1,0.8999999999999999,Basketball
3,202606,3.8522,1,2.8522,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,162.6096,0,-1.0,Basketball
3,202606,1.8,1,0.8,Basketball
3,202606,77.2811,0,-1.0,Soccer
3,202606,223.7284,0,-1.0,Basketball
3,202606,46.8,0,-1.0,Basketball
3,202606,2.8,0,-1.0,Basketball
3,202606,317.4648,0,-1.0,Soccer
3,202606,1.7,0,-1.0,Soccer
3,202606,1.9,0,-1.0,Basketball
3,202606,193.3408,0,-1.0,Basketball
3,202606,1.85,1,0.8500000000000001,Basketball
3,202606,1.8,1,0.8,Basketball
3,202606,1.77,1,0.77,Soccer
3,202606,65.1918,0,-1.0,Soccer
3,202606,3.8,0,-1.0,Table Tennis
3,202606,201.0,0,-1.0,Soccer
3,202606,90.0,0,-1.0,Soccer
3,202606,101.0,0,-1.0,Soccer
3,202606,2.04,0,-1.0,Soccer
3,202606,2.05,0,-1.0,Basketball
3,202606,142.78,0,-1.0,Soccer
3,202606,194.7,0,-1.0,Super Bowl LX
3,202606,1.8,1,0.8,Tennis
3,202606,675.8224,0,-1.0,Soccer
3,202606,534.3712,0,-1.0,Soccer
3,202606,245.34,0,-1.0,Soccer
3,202606,182.5327,0,-1.0,Soccer
3,202606,2.01,0,-1.0,Soccer
3,202606,177.246,0,-1.0,Soccer
3,202606,138.8794,0,-1.0,Soccer
3,202606,3.4,0,-1.0,Soccer
3,202606,105.2113,0,-1.0,Soccer
3,202606,72.38,0,-1.0,Soccer
3,202606,193.116,0,-1.0,Soccer
3,202606,2.23,0,-1.0,Soccer
3,202606,1.97,1,0.97,Soccer
3,202606,110.5124,0,-1.0,Soccer
3,202606,1.9,1,0.8999999999999999,Soccer
3,202606,2.23,0,-1.0,Soccer
3,202606,130.7227,0,-1.0,Soccer
3,202606,2.1,0,-1.0,Soccer
3,202606,1.86,0,-1.0,Soccer
3,202606,302.2331,0,-1.0,Soccer
3,202606,6.9554,0,-1.0,Soccer
3,202606,1.3,0,-1.0,Tennis
3,202606,8.9045,0,-1.0,Soccer
3,202606,1.3,0,-1.0,Tennis
3,202606,61.0386,1,60.0386,Soccer
3,202606,126.9972,1,125.9972,Soccer
3,202606,113.9877,1,112.9877,Soccer
3,202606,2.1,1,1.1,Soccer
3,202606,2.1,1,1.1,Soccer
3,202606,2.1,0,-1.0,Soccer
3,202606,264.3044,0,-1.0,Soccer
3,202606,2.05,1,1.0499999999999998,Soccer
3,202606,2.2,0,-1.0,Soccer
3,202606,2.2,1,1.2000000000000002,Soccer
