block,week,n_test,conf_ev_0.15_roi,conf_ev_0.15_n,conf_ev_0.10_roi,conf_ev_0.10_n,ev_0.05_roi,ev_0.05_n,pmean_0.55_roi,pmean_0.55_n
0,202603,1629,-46.27,248,-34.91,341,-27.96,550,-5.13,811
1,202604,1677,-36.92,208,-30.1,279,-18.92,465,3.11,781
2,202605,1312,28.38,149,24.76,228,9.86,392,5.1,663
3,202606,7053,27.54,992,21.77,1487,8.81,3073,-0.74,3551
4,202607,24378,3.37,2428,5.05,4075,2.81,8555,-0.22,12492
5,202608,32074,-0.22,4689,0.42,8476,-2.23,15040,-2.22,18936
