iter	Logloss
0	0.6159431737
1	0.5716166647
2	0.5472420435
3	0.533932633
4	0.520608341
5	0.5105409224
6	0.4988798254
7	0.4956274268
8	0.4881595439
9	0.4852872492
10	0.4787314595
11	0.4751941782
12	0.4714411665
13	0.4671640225
14	0.4615264138
15	0.4573410568
16	0.4540326703
17	0.4503003679
18	0.4471648884
19	0.4434134897
20	0.4404646539
21	0.4362725065
22	0.4322923431
23	0.4269022572
24	0.4234645678
25	0.4213744909
26	0.4193837978
27	0.4160645364
28	0.4135544461
29	0.4111665301
30	0.4087982308
31	0.4047556533
32	0.4014913912
33	0.3999360614
34	0.3979684191
35	0.3943625057
36	0.39193442
37	0.3898389577
38	0.3862831525
39	0.3836787517
40	0.3804499503
41	0.3771943518
42	0.3742547259
43	0.3712928818
44	0.369915272
45	0.3677057525
46	0.3652465248
47	0.3638177142
48	0.3614423903
49	0.3576954405
50	0.3538237407
51	0.3516671391
52	0.3482612161
53	0.3451224325
