iter	Logloss
0	0.6894366959
1	0.6862934956
2	0.6833504718
3	0.6802878797
4	0.6772227218
5	0.6742515707
6	0.6709980119
7	0.6679400449
8	0.6661652818
9	0.6644601273
10	0.661998026
11	0.6597527017
12	0.6571064519
13	0.6547442997
14	0.6523407138
15	0.6497916302
16	0.6477214041
17	0.6455430883
18	0.6438543881
19	0.642009024
20	0.6399945033
21	0.6378869706
22	0.6359032198
23	0.6342322469
24	0.6331831215
25	0.6317922762
26	0.6303946116
27	0.6288832682
28	0.6272332066
29	0.6255353037
30	0.6246107323
31	0.6238014189
32	0.6226815371
33	0.6214638867
34	0.6204481456
35	0.6192568322
36	0.618238989
37	0.6169623492
38	0.6156872925
39	0.6150500774
40	0.6139633815
41	0.6133166501
42	0.6121355494
43	0.611398173
44	0.6107325477
45	0.6100880384
46	0.6095274465
47	0.6085068325
48	0.6073390868
49	0.6066998414
50	0.6060429474
51	0.6051499799
52	0.6041872723
53	0.6035498925
54	0.602679525
55	0.6019767533
56	0.6014031439
57	0.6007388863
58	0.6002804272
59	0.599458699
60	0.5990465022
61	0.5982206593
62	0.597623637
63	0.5969888362
64	0.596426952
65	0.5960270087
66	0.5956961669
67	0.5950972213
68	0.5947232174
69	0.5944432865
70	0.5940788808
71	0.5935397608
72	0.5926008231
73	0.5918316073
74	0.5915003788
75	0.5911084288
76	0.5908147147
77	0.5905609224
78	0.5902853686
79	0.5900311202
80	0.5897982541
81	0.5892067319
82	0.5889141828
83	0.5885127754
84	0.5882671906
85	0.5880339453
86	0.5875777368
87	0.5871492834
88	0.5867712582
89	0.5864633958
90	0.5863052569
91	0.5858950188
92	0.5855001516
93	0.5854099201
94	0.5852293811
95	0.5848459747
96	0.5843327543
97	0.5840616842
98	0.5839002042
99	0.5838186637
100	0.5837315257
101	0.583304495
102	0.5829725502
103	0.5827097663
104	0.5824498573
105	0.5822434534
106	0.5820489725
107	0.5815899083
108	0.5813327043
109	0.5811417331
110	0.5809676986
111	0.5808904108
112	0.5806119102
113	0.5804778715
114	0.5803683747
115	0.5802680991
116	0.5799938363
117	0.5798106513
118	0.5796664482
119	0.5794620454
120	0.5793136359
121	0.5791449461
122	0.5790269412
123	0.5788886788
124	0.578743432
125	0.5785564917
126	0.5783807262
127	0.578264393
128	0.5779826622
129	0.5777893959
130	0.5776065399
131	0.5774023912
132	0.5770827834
133	0.5768819936
134	0.5766695071
135	0.5764631946
136	0.5763329759
137	0.5762204873
138	0.5760684076
139	0.5759377846
140	0.5757072811
141	0.5755972249
142	0.5755370236
143	0.5754596044
144	0.5752958901
145	0.5752116374
146	0.5750933421
147	0.5750265783
148	0.574959995
149	0.5748136105
150	0.5746938719
151	0.574612477
152	0.5744374684
153	0.5742488473
154	0.5741266
155	0.5740222123
156	0.5739764132
157	0.5737162908
158	0.573476281
159	0.5734732801
160	0.5734099816
161	0.5734017497
162	0.5733967768
163	0.573236904
164	0.573137177
165	0.5730407466
166	0.5730075604
167	0.572915705
168	0.5728052723
169	0.5727993429
170	0.5727397939
171	0.5726197049
172	0.5725787453
173	0.5725098986
174	0.5724493842
175	0.5724151884
176	0.5724038835
177	0.572327598
178	0.5723225787
179	0.5722460744
180	0.5720995236
181	0.5720593606
182	0.5719510569
183	0.5718653851
184	0.5718590831
185	0.5718525431
186	0.5718164158
187	0.5717437737
188	0.5717087298
189	0.5716860316
190	0.5716831404
191	0.5715664539
192	0.5715605328
193	0.5715218634
194	0.5714483492
195	0.5714072453
196	0.5713406212
197	0.5712689206
198	0.5712387638
199	0.5711792522
200	0.5711744294
201	0.5711707423
202	0.5711331158
203	0.5711321146
204	0.5710665935
205	0.5710256915
206	0.5710179866
207	0.5709639648
208	0.5709274025
209	0.5708971087
210	0.5707881126
211	0.5707874955
212	0.5707704032
213	0.5707663708
214	0.5707340625
215	0.5707017095
216	0.570685887
217	0.5706575827
218	0.5705893227
219	0.5705587563
220	0.5705567487
221	0.5704908539
222	0.5703972438
223	0.5703327431
224	0.5703186568
225	0.5703010731
226	0.5702996825
227	0.5702718249
228	0.5702326099
229	0.5701884476
230	0.5701635153
231	0.5700871967
232	0.5700842158
233	0.570057231
234	0.5700417104
235	0.5700063859
236	0.5699738038
237	0.5699718806
238	0.5699625701
239	0.5698966128
240	0.5698125479
241	0.5697730291
242	0.5697694377
243	0.5696859542
244	0.569635101
245	0.5696249808
246	0.5696226246
247	0.5696199194
248	0.5695500355
249	0.5695492615
250	0.5695421329
251	0.5695352405
252	0.5695250561
253	0.5694758363
254	0.5694120184
255	0.5693613544
256	0.5693599107
257	0.5693545974
258	0.5693324154
