iter	Logloss
0	0.6786094172
1	0.667046619
2	0.6553607778
3	0.6447950273
4	0.6356041329
5	0.6267128802
6	0.6186392675
7	0.6115608211
8	0.6046051076
9	0.5996989051
10	0.5952587316
11	0.5904507123
12	0.5857013406
13	0.5820848419
14	0.5786825624
15	0.5758333943
16	0.5719605887
17	0.5693245868
18	0.5662247647
19	0.5645013177
20	0.5628959225
21	0.5611639745
22	0.559541605
23	0.5579956199
24	0.5567258035
25	0.5553686371
26	0.5541571196
27	0.5532885401
28	0.5521485426
29	0.5513592697
30	0.5505335758
31	0.549732093
32	0.5491112143
33	0.5482730823
34	0.5476956802
35	0.5463819092
36	0.5454244703
37	0.5448309953
38	0.5442755303
39	0.5436115437
40	0.5432884539
41	0.542997943
42	0.5424944521
43	0.5415827757
44	0.5412461848
45	0.5409239193
46	0.5406092255
47	0.5403300718
48	0.5397118262
49	0.5393662713
50	0.5390110639
51	0.5386371792
52	0.5384266828
53	0.5382150759
54	0.5380415659
55	0.5374729683
56	0.5372640851
57	0.537053934
58	0.5367354445
59	0.5365165787
60	0.5358272814
61	0.535572758
62	0.5353037009
63	0.5348181329
64	0.5345952678
65	0.5343417665
66	0.5342022252
67	0.5338596618
68	0.5337688409
69	0.5335170276
70	0.5333087025
71	0.5330560406
72	0.5328565079
73	0.532757811
74	0.5323881017
75	0.5321421671
76	0.5319782934
77	0.5318373287
78	0.5316590041
79	0.5315192772
80	0.5313088575
81	0.5311157725
82	0.5309176732
83	0.5302863323
84	0.5301642612
85	0.529870737
86	0.5295558475
87	0.5294970562
88	0.5291248956
89	0.5290145785
90	0.5288413764
91	0.5287347921
92	0.528668532
93	0.5285217976
94	0.5283837252
95	0.5282894032
96	0.5281725676
97	0.5279573976
98	0.5277581195
99	0.5276549236
100	0.5275444279
101	0.5274164352
102	0.5272583962
103	0.5270988489
104	0.5269563347
105	0.5268736068
106	0.526799259
107	0.5266216237
108	0.5265073543
109	0.5264485625
110	0.5263204363
111	0.5261890367
112	0.5259468899
113	0.525832496
114	0.5257760675
115	0.5256540338
116	0.5255752029
117	0.5253995613
118	0.5252640479
119	0.5251495532
120	0.5250876664
121	0.5250174734
122	0.5249346935
123	0.5247808078
124	0.5246790851
125	0.5245978393
126	0.5244326626
127	0.5243823734
128	0.5242754887
129	0.5242101011
130	0.5240648324
131	0.524013759
132	0.5238964442
133	0.5238494204
134	0.5237042029
135	0.5236541559
136	0.5235959832
137	0.5235440104
138	0.5234742913
139	0.5233938059
140	0.5231665663
141	0.5230456625
142	0.5229831066
143	0.5228307893
144	0.5227518734
145	0.5226387653
146	0.5224984317
147	0.5224168979
148	0.5223002342
149	0.5221782296
150	0.5221098628
151	0.5220524297
152	0.5219038822
153	0.5216839776
154	0.5216288182
155	0.5215257291
156	0.5213086119
157	0.5212218289
158	0.5211350964
159	0.521079824
160	0.5210321179
161	0.5209303971
162	0.5208726668
163	0.5208129393
164	0.5207024323
165	0.520604544
166	0.5205574705
167	0.520482191
168	0.5204366411
169	0.5203959545
170	0.5203656173
171	0.5202885899
172	0.5202222709
173	0.5201312524
174	0.519949193
175	0.5198344529
176	0.5197350008
177	0.5195658242
178	0.5194792537
179	0.5193865772
180	0.5193201192
181	0.5192759995
182	0.5192108917
183	0.519130789
184	0.5190433364
185	0.5189525364
186	0.5188785492
187	0.5188063256
188	0.5187457085
189	0.5186596688
190	0.5185824727
191	0.5184298235
192	0.5183445085
193	0.5182566023
194	0.5181464047
195	0.5180540462
196	0.518028013
197	0.5179506786
198	0.5178986515
199	0.517845522
