iter	Passed	Remaining
0	3	3390
1	5	2703
2	7	2393
3	8	2228
4	11	2355
5	13	2276
6	15	2205
7	17	2167
8	19	2122
9	21	2084
10	22	2043
11	24	2015
12	26	1995
13	28	1983
14	30	1989
15	32	1994
16	34	1997
17	36	1986
18	38	1974
19	40	1961
20	41	1956
21	44	1978
22	46	1970
23	48	1965
24	50	1965
25	52	1954
26	54	1946
27	56	1953
28	58	1952
29	60	1949
30	62	1946
31	64	1949
32	66	1956
33	68	1948
34	70	1941
35	72	1938
36	74	1934
37	76	1926
38	79	1948
39	81	1944
40	83	1948
41	85	1945
42	88	1959
43	90	1968
44	93	1978
45	95	1989
46	97	1986
47	100	1985
48	104	2018
49	106	2030
50	109	2045
51	111	2039
52	114	2052
53	117	2066
54	120	2064
55	123	2079
56	126	2090
57	128	2089
58	134	2137
59	136	2143
60	138	2137
61	142	2152
62	144	2144
63	147	2158
64	149	2150
65	151	2149
66	155	2170
67	160	2197
68	164	2217
69	166	2212
70	172	2250
71	174	2250
72	176	2246
73	178	2236
74	180	2227
75	182	2220
76	184	2210
77	186	2200
78	188	2192
79	189	2183
80	191	2176
81	194	2174
82	196	2166
83	197	2156
84	199	2151
85	201	2141
86	203	2133
87	205	2129
88	207	2122
89	209	2115
90	211	2109
91	212	2101
92	214	2093
93	217	2092
94	218	2084
95	220	2077
96	222	2073
97	224	2066
98	226	2060
99	229	2062
100	231	2058
101	232	2051
102	234	2043
103	236	2036
104	238	2030
105	241	2037
106	243	2031
107	245	2029
108	247	2023
109	249	2016
110	251	2011
111	252	2005
112	254	1998
113	257	2000
114	259	1995
115	261	1992
116	263	1988
117	266	1990
118	268	1986
119	270	1980
120	272	1979
121	275	1980
122	277	1977
123	279	1974
124	282	1974
125	284	1969
126	286	1970
127	288	1965
128	291	1970
129	293	1965
130	295	1959
131	297	1953
132	298	1948
133	300	1943
134	302	1939
135	305	1938
136	306	1932
137	308	1929
138	310	1923
139	312	1919
140	314	1915
141	315	1908
142	317	1903
143	319	1898
144	321	1893
145	322	1888
146	324	1883
147	326	1878
