iter	Passed	Remaining
0	70	85685
1	77	47051
2	82	33518
3	88	26997
4	95	23073
5	101	20570
6	107	18575
7	112	17083
8	120	16206
9	127	15367
10	142	15687
11	152	15290
12	161	14925
13	170	14675
14	180	14440
15	190	14315
16	198	14049
17	207	13802
18	211	13364
19	220	13198
20	229	13086
21	239	12996
22	250	13026
23	260	12942
24	265	12661
25	273	12546
26	280	12393
27	287	12205
28	302	12386
29	318	12603
30	333	12751
31	341	12649
32	350	12604
33	362	12624
34	371	12549
35	377	12399
36	383	12249
37	389	12100
38	396	11971
39	401	11813
40	406	11662
41	410	11496
42	415	11345
43	430	11489
44	440	11473
45	448	11419
46	455	11352
47	476	11609
48	487	11636
49	497	11612
50	510	11692
51	518	11615
52	527	11585
53	537	11586
54	544	11516
55	551	11449
56	560	11416
57	568	11375
58	576	11328
59	584	11284
60	599	11363
61	610	11377
62	627	11497
63	640	11555
64	653	11597
65	666	11635
66	676	11614
67	686	11603
68	696	11602
69	710	11654
70	723	11686
71	732	11655
