iter	Passed	Remaining
0	7	3718
1	13	3445
2	19	3169
3	23	2927
4	28	2790
5	33	2749
6	39	2785
7	45	2780
8	51	2832
9	56	2781
10	62	2770
11	67	2750
12	72	2703
13	76	2653
14	82	2654
15	86	2613
16	91	2601
17	96	2573
18	100	2554
19	105	2520
20	110	2511
21	113	2474
22	119	2487
23	125	2489
24	131	2494
25	136	2488
26	141	2480
27	147	2492
28	152	2482
29	156	2454
30	162	2460
31	166	2441
32	171	2424
33	178	2446
34	183	2432
35	187	2411
36	191	2400
37	196	2386
38	200	2370
39	205	2361
40	210	2355
41	216	2355
42	221	2352
43	225	2336
44	230	2332
45	236	2333
46	242	2333
47	246	2317
48	252	2321
49	257	2321
50	262	2314
51	269	2325
52	274	2313
53	281	2322
54	288	2333
55	296	2349
56	302	2354
57	309	2358
58	315	2359
59	322	2365
60	327	2360
61	333	2355
62	340	2363
63	347	2366
64	355	2375
65	360	2368
66	364	2355
67	368	2342
68	372	2324
69	377	2320
70	382	2309
71	387	2301
72	394	2307
73	403	2321
74	409	2320
75	419	2341
76	429	2357
77	437	2364
78	441	2353
79	449	2360
80	456	2360
81	462	2358
82	468	2352
83	473	2343
84	479	2340
85	484	2330
86	489	2325
87	497	2331
88	505	2334
89	512	2335
90	521	2344
91	529	2349
92	536	2347
93	541	2338
94	545	2326
95	551	2319
96	555	2309
97	559	2296
98	566	2295
99	572	2288
100	576	2277
101	580	2266
102	585	2255
103	588	2241
104	592	2229
105	597	2221
106	602	2211
107	608	2208
108	612	2196
109	618	2193
110	625	2191
111	631	2186
112	638	2185
113	642	2175
114	648	2170
115	653	2162
116	657	2153
117	663	2147
118	669	2142
119	673	2133
120	678	2125
121	685	2122
122	690	2117
123	694	2107
124	699	2099
125	704	2090
126	708	2081
127	715	2079
128	722	2076
129	727	2069
130	731	2060
131	735	2051
132	742	2048
133	748	2043
134	753	2036
135	757	2028
136	762	2020
137	767	2012
138	773	2008
139	779	2005
140	784	1998
141	789	1989
142	794	1984
143	801	1980
144	806	1975
145	811	1967
146	816	1960
147	821	1952
148	825	1945
149	831	1939
150	835	1931
151	840	1923
152	846	1920
153	853	1917
154	861	1916
155	868	1915
156	877	1917
157	884	1913
158	891	1912
159	898	1909
160	906	1909
161	913	1906
162	921	1905
163	926	1897
164	931	1891
165	937	1886
166	941	1877
167	945	1869
168	950	1862
169	955	1855
170	962	1851
171	970	1850
172	976	1845
173	982	1840
174	988	1835
175	992	1827
176	997	1821
177	1003	1816
178	1007	1807
179	1014	1803
180	1020	1798
181	1024	1790
182	1031	1786
183	1037	1782
184	1043	1776
185	1048	1770
186	1052	1762
187	1057	1754
188	1062	1747
189	1066	1740
190	1072	1734
191	1078	1729
192	1083	1722
193	1088	1716
194	1092	1709
195	1097	1701
196	1102	1695
197	1108	1690
198	1114	1685
199	1118	1678
200	1125	1674
201	1132	1670
202	1139	1667
203	1145	1662
204	1150	1655
205	1154	1647
206	1160	1642
207	1166	1637
208	1171	1631
209	1175	1623
210	1181	1618
211	1187	1613
212	1192	1606
213	1196	1599
214	1201	1593
215	1206	1586
216	1211	1580
217	1217	1575
218	1223	1570
219	1228	1563
220	1234	1557
221	1239	1552
222	1244	1546
223	1249	1539
224	1255	1534
225	1260	1528
226	1265	1521
227	1271	1517
228	1276	1511
229	1281	1504
230	1286	1497
231	1291	1492
232	1296	1485
233	1300	1478
234	1308	1475
235	1314	1470
236	1318	1463
237	1323	1456
238	1328	1450
