iter	Passed	Remaining
0	42	21436
1	80	20033
2	116	19228
3	167	20729
4	221	21920
5	266	21917
6	317	22333
7	361	22208
8	401	21909
9	443	21720
10	490	21808
11	536	21820
12	578	21685
13	620	21533
14	663	21447
15	703	21290
16	747	21232
17	788	21117
18	835	21158
19	885	21257
20	929	21198
21	977	21239
22	1024	21256
23	1082	21474
24	1126	21394
25	1166	21257
26	1205	21111
27	1243	20967
28	1278	20766
29	1325	20769
30	1383	20935
31	1432	20950
32	1496	21174
33	1563	21427
34	1609	21377
35	1654	21320
36	1695	21213
37	1735	21105
38	1795	21224
39	1834	21097
40	1874	20989
41	1913	20869
42	1957	20798
43	2019	20932
44	2068	20912
45	2124	20966
46	2169	20913
47	2222	20932
48	2261	20813
49	2299	20695
50	2343	20633
51	2384	20547
52	2427	20476
53	2470	20403
54	2528	20455
55	2570	20384
56	2616	20336
57	2664	20305
58	2708	20243
59	2756	20215
60	2797	20132
61	2839	20059
62	2878	19969
63	2928	19947
64	2972	19895
65	3016	19832
66	3058	19766
67	3097	19680
68	3137	19598
69	3183	19553
70	3220	19456
71	3266	19419
72	3309	19360
73	3350	19288
74	3392	19226
75	3434	19161
76	3473	19082
77	3509	18989
78	3549	18917
79	3592	18858
80	3637	18815
81	3684	18780
82	3701	18598
83	3763	18636
84	3798	18543
85	3835	18464
86	3870	18373
87	3912	18318
88	3953	18258
89	3994	18194
90	4031	18121
91	4071	18056
92	4114	18008
93	4150	17925
94	4190	17866
95	4230	17802
96	4269	17739
97	4313	17693
98	4349	17617
99	4402	17608
100	4447	17570
101	4489	17517
102	4522	17431
103	4561	17367
104	4601	17309
105	4636	17234
106	4679	17187
107	4718	17125
108	4759	17072
109	4803	17030
110	4839	16959
111	4878	16901
112	4923	16861
113	4963	16805
114	5019	16805
115	5062	16758
116	5104	16710
117	5145	16656
118	5185	16603
119	5232	16569
120	5268	16503
121	5312	16460
122	5352	16405
123	5389	16342
124	5431	16294
125	5473	16247
126	5526	16230
127	5568	16184
128	5606	16124
129	5645	16067
130	5685	16014
131	5726	15965
132	5769	15920
133	5810	15869
134	5851	15819
135	5890	15766
136	5928	15707
137	5964	15645
138	6000	15584
139	6039	15530
140	6075	15469
141	6113	15413
142	6152	15360
143	6185	15292
144	6221	15231
145	6265	15190
146	6305	15141
147	6341	15083
148	6375	15017
149	6416	14972
150	6458	14926
151	6499	14879
152	6534	14819
153	6573	14769
154	6619	14732
155	6656	14679
156	6702	14642
157	6746	14602
158	6786	14554
159	6832	14519
160	6871	14468
161	6911	14420
162	6972	14416
163	7026	14395
164	7067	14349
165	7132	14351
166	7194	14345
167	7267	14362
168	7329	14355
169	7385	14335
170	7431	14298
171	7475	14256
172	7522	14219
173	7573	14190
174	7644	14197
175	7693	14162
176	7729	14105
177	7776	14067
178	7821	14026
179	7872	13996
180	7923	13965
181	7980	13944
182	8027	13906
183	8078	13874
184	8122	13830
185	8166	13787
186	8220	13759
187	8259	13707
188	8305	13666
189	8345	13616
190	8383	13562
191	8420	13507
192	8523	13557
193	8570	13518
194	8612	13470
195	8650	13416
196	8700	13382
197	8737	13327
198	8777	13276
199	8813	13219
200	8852	13169
201	8902	13133
202	8945	13087
203	8985	13037
204	9024	12986
205	9070	12945
206	9109	12894
207	9149	12844
208	9196	12804
209	9233	12750
210	9267	12693
211	9307	12644
212	9347	12594
213	9399	12561
214	9438	12511
215	9482	12467
216	9532	12432
217	9595	12412
218	9644	12374
219	9686	12327
220	9731	12286
221	9770	12234
222	9813	12190
223	9851	12138
224	9889	12086
225	9926	12034
226	9978	12000
227	10020	11954
228	10065	11911
229	10110	11869
230	10150	11820
231	10202	11785
232	10237	11730
233	10273	11677
234	10318	11635
235	10356	11585
236	10393	11533
237	10431	11483
238	10475	11440
239	10517	11394
240	10563	11352
241	10608	11310
242	10651	11265
243	10700	11227
244	10742	11181
245	10781	11132
246	10829	11092
247	10876	11051
248	10919	11006
249	10958	10958
250	10999	10911
251	11038	10863
252	11093	10830
253	11138	10787
254	11179	10741
255	11224	10698
256	11263	10649
257	11299	10598
258	11338	10550
259	11376	10501
260	11425	10461
261	11469	10419
262	11514	10376
263	11556	10331
264	11596	10284
265	11635	10235
266	11674	10187
267	11705	10133
268	11747	10088
269	11786	10040
270	11827	9994
271	11871	9951
272	11913	9905
273	11954	9860
274	11997	9816
275	12039	9771
276	12082	9726
277	12121	9679
278	12166	9637
279	12214	9597
280	12256	9552
281	12296	9506
282	12334	9457
283	12370	9408
284	12417	9367
285	12454	9318
286	12492	9271
287	12538	9229
288	12590	9192
289	12630	9146
290	12670	9100
291	12705	9050
292	12744	9003
293	12782	8956
294	12819	8908
295	12862	8864
296	12902	8818
297	12943	8774
298	12989	8732
299	13031	8687
300	13070	8641
301	13108	8594
302	13167	8561
303	13238	8535
304	13287	8495
305	13328	8450
306	13374	8408
307	13418	8364
308	13455	8317
309	13494	8270
310	13542	8229
311	13578	8182
312	13618	8136
313	13657	8090
314	13699	8045
315	13746	8004
316	13786	7958
317	13826	7913
318	13863	7866
319	13910	7824
320	13953	7780
321	13993	7735
322	14031	7689
323	14068	7642
324	14107	7596
325	14147	7551
326	14183	7503
327	14218	7456
328	14259	7411
329	14303	7368
330	14349	7326
331	14394	7284
332	14447	7245
333	14497	7205
334	14542	7162
335	14584	7118
336	14627	7074
337	14664	7028
338	14706	6984
339	14752	6942
340	14799	6900
341	14816	6845
342	14862	6802
343	14905	6759
344	14956	6719
345	15003	6677
346	15054	6637
347	15092	6591
348	15135	6548
349	15192	6510
350	15231	6465
351	15272	6421
352	15311	6376
353	15349	6330
354	15390	6286
355	15431	6241
356	15471	6197
357	15510	6152
358	15546	6106
359	15587	6061
360	15624	6015
361	15665	5972
362	15708	5928
363	15718	5872
364	15756	5827
365	15805	5786
366	15845	5742
367	15886	5698
368	15932	5656
369	15976	5613
370	16021	5570
371	16062	5526
372	16109	5484
373	16153	5442
374	16204	5401
375	16241	5356
376	16278	5311
377	16310	5264
378	16351	5220
379	16392	5176
380	16438	5134
381	16474	5088
382	16517	5045
383	16572	5006
384	16611	4961
385	16652	4918
386	16695	4874
387	16734	4830
388	16774	4786
389	16810	4741
390	16848	4696
391	16883	4651
392	16920	4606
393	16959	4562
394	17004	4520
395	17044	4476
396	17082	4432
397	17121	4387
398	17161	4344
399	17204	4301
400	17243	4257
401	17276	4211
402	17318	4168
403	17356	4124
404	17391	4079
405	17431	4035
406	17468	3991
407	17507	3947
408	17550	3904
409	17588	3860
410	17628	3817
411	17666	3773
412	17701	3728
413	17734	3684
414	17785	3642
415	17824	3599
416	17863	3555
417	17902	3511
418	17937	3467
419	17976	3424
420	18020	3381
421	18062	3338
422	18111	3296
423	18150	3253
424	18185	3209
425	18228	3166
426	18270	3123
427	18340	3085
428	18400	3045
429	18458	3004
430	18510	2963
431	18553	2920
432	18594	2877
433	18645	2835
434	18686	2792
435	18727	2749
436	18766	2705
437	18807	2662
438	18846	2618
439	18890	2575
440	18944	2534
441	18993	2492
442	19035	2449
443	19074	2405
444	19113	2362
445	19148	2318
446	19194	2275
447	19232	2232
448	19274	2189
449	19318	2146
450	19354	2102
451	19395	2059
452	19429	2015
453	19466	1972
454	19509	1929
455	19549	1886
456	19592	1843
457	19629	1800
