iter	Passed	Remaining
0	18	9416
1	39	9796
2	58	9755
3	81	10047
4	101	10095
5	122	10126
6	141	9981
7	162	9994
8	179	9794
9	198	9732
10	216	9627
11	236	9622
12	257	9635
13	276	9593
14	289	9361
15	311	9423
16	330	9393
17	350	9384
18	368	9331
19	389	9338
20	410	9366
21	428	9305
22	446	9260
23	463	9199
24	482	9173
25	503	9174
26	525	9198
27	540	9107
28	560	9100
29	574	9007
30	595	9011
31	614	8988
32	634	8978
33	653	8952
34	670	8912
35	689	8892
36	705	8823
37	723	8793
38	741	8769
39	759	8730
40	776	8693
41	795	8670
42	816	8679
43	834	8653
44	856	8664
45	872	8610
46	890	8578
47	907	8547
48	924	8513
49	944	8498
50	963	8480
51	979	8435
52	994	8385
53	1012	8363
54	1028	8322
55	1047	8304
56	1068	8303
57	1087	8285
58	1106	8272
59	1127	8269
60	1147	8257
61	1165	8235
62	1186	8229
63	1203	8199
64	1221	8174
65	1239	8149
66	1254	8106
67	1272	8084
68	1290	8060
69	1307	8034
70	1327	8019
71	1346	8003
72	1365	7985
73	1382	7957
74	1402	7949
75	1418	7911
