iter	Logloss
0	0.6664056356
1	0.6439712015
2	0.6278965509
3	0.6152512761
4	0.6048942401
5	0.5984955218
6	0.5913253412
7	0.5851944959
8	0.5801225305
9	0.5763487215
10	0.5732155009
11	0.5715922577
12	0.5694269049
13	0.5678224324
14	0.5669152058
15	0.5656155909
16	0.5644144095
17	0.5632038098
18	0.5620602032
19	0.5607456627
20	0.5597874256
21	0.5586469078
22	0.5574174911
23	0.5567441204
24	0.5560158591
25	0.5547801686
26	0.5537143937
27	0.5529766302
28	0.5523912294
29	0.5519613866
30	0.5513771789
31	0.5504885326
32	0.5499943925
33	0.5493557666
34	0.5487927232
35	0.5483995653
36	0.548189863
37	0.547968085
38	0.5471645609
39	0.5469313696
40	0.546659664
41	0.5462548253
42	0.545857632
43	0.5455185229
44	0.5452198756
45	0.544963525
46	0.544798173
47	0.5445798615
48	0.5443858157
49	0.5438007698
50	0.542943786
51	0.5426189973
52	0.5423858883
53	0.5422299766
54	0.5420334317
55	0.5418521355
56	0.5417270236
57	0.5413956381
58	0.5412087091
59	0.5411184985
60	0.5407253187
61	0.5403103709
62	0.5395103922
63	0.539398796
64	0.5391953405
65	0.538990453
66	0.5387961859
67	0.5385135918
68	0.5383414568
69	0.538053994
70	0.5379132806
71	0.5376926805
72	0.5375806559
73	0.5370980985
74	0.5370208062
75	0.5366041995
