iter	Logloss
0	0.6644858769
1	0.6386543429
2	0.6203065393
3	0.6013171336
4	0.5837702207
5	0.570533919
6	0.5582204034
7	0.5508188929
8	0.5430029584
9	0.5362270854
10	0.5303093195
11	0.5239220337
12	0.5190106357
13	0.5138184684
14	0.5086614505
15	0.5057561886
16	0.5038696563
17	0.5011117991
18	0.4968568459
19	0.4938045935
20	0.4914534477
21	0.4898589813
22	0.4872698883
23	0.484430045
24	0.4820350534
25	0.4810719027
26	0.4798259558
27	0.4773005103
28	0.4748204272
29	0.4722974252
30	0.4711090479
31	0.4698718737
32	0.4681002295
33	0.466411014
34	0.4657958884
35	0.4649726787
36	0.4629926802
37	0.4615458079
38	0.4601821567
39	0.4593753784
40	0.4579037647
41	0.4568518738
42	0.4552366402
43	0.4537070356
44	0.4525993155
45	0.451435583
46	0.4505546171
47	0.4497386359
48	0.4482425233
49	0.4467396532
50	0.4452317764
51	0.4442451301
52	0.4426073021
53	0.4416487582
54	0.4414765494
55	0.4403894276
56	0.4389727209
57	0.4378844073
58	0.4375144905
59	0.4371098303
60	0.4360085615
61	0.435258526
62	0.4347614795
63	0.4341300124
64	0.4335346391
65	0.4327249205
66	0.4322529498
67	0.430731156
68	0.429883511
69	0.4293121596
70	0.4281731038
71	0.4270959869
72	0.4260593025
73	0.4250633691
74	0.4241182426
75	0.4232038767
76	0.4225335849
77	0.421577755
78	0.4209137724
79	0.4200554879
80	0.4191785471
81	0.4179676274
82	0.4169909237
83	0.4162078885
84	0.4156960288
85	0.4147054233
86	0.4139735403
87	0.4130702178
88	0.4122338112
89	0.4116830628
90	0.4107499226
91	0.4097712223
92	0.4089682794
93	0.4082209072
94	0.4075768467
95	0.406413117
96	0.4058453765
97	0.4047288919
98	0.4042497437
99	0.4033657109
100	0.4021927711
101	0.4015289998
102	0.4010468786
103	0.4004203701
104	0.3996038422
105	0.3988302979
106	0.39788275
