iter	Logloss
0	0.6881801881
1	0.6829201527
2	0.6778771438
3	0.6734518196
4	0.669478845
5	0.6656467975
6	0.6622827599
7	0.6585820431
8	0.6556945613
9	0.6529712805
10	0.649815989
11	0.6469996321
12	0.6445951571
13	0.6424712755
14	0.6401269114
15	0.6378725695
16	0.6360813923
17	0.6343139219
18	0.632746291
19	0.6312890481
20	0.6295601514
21	0.6281698005
22	0.6268466447
23	0.6251715329
24	0.6239747941
25	0.6226868731
26	0.6217130072
27	0.6205867996
28	0.6195993254
29	0.6186366558
30	0.6178691732
31	0.6169797423
32	0.6162645975
33	0.6153857295
34	0.614678571
35	0.6137658987
36	0.6131448067
37	0.6125128795
38	0.6119811285
39	0.6115070879
40	0.611040683
41	0.6105297529
42	0.6100135041
43	0.6095392849
44	0.6090317031
45	0.6085568001
46	0.6081576376
47	0.6077968841
48	0.6073449342
49	0.6071250116
50	0.6068608892
51	0.6065608336
52	0.6062107343
53	0.605828171
54	0.6054468402
55	0.6051124305
56	0.6049206531
57	0.6045575485
58	0.6042777382
59	0.603999764
60	0.6038058641
61	0.6036399057
62	0.6034160497
63	0.6031845579
64	0.603015678
65	0.6027275529
66	0.6024664607
67	0.6022703275
68	0.6020690948
69	0.6018879816
70	0.6017958921
71	0.601613093
72	0.6013735326
73	0.6012097367
74	0.6010449838
75	0.600922476
76	0.6007203682
77	0.6005371105
78	0.6004374053
79	0.6003130964
80	0.6001646281
81	0.5999937069
82	0.5998940878
83	0.5997524321
84	0.5996275727
85	0.5995068174
86	0.5993288857
87	0.599208569
88	0.5991228201
89	0.5989538361
90	0.5988393835
91	0.5987199086
92	0.5985773321
93	0.5985026897
94	0.5983606614
95	0.5982598764
96	0.5981886303
97	0.5981172047
98	0.5980056903
99	0.5979496357
100	0.5978867637
101	0.5978009626
102	0.5977300961
103	0.5976429344
104	0.597544653
105	0.5974576748
106	0.5973862517
107	0.5972969029
108	0.5971419106
109	0.5970779665
110	0.5969773793
111	0.5969294472
112	0.5968606219
113	0.596736785
114	0.5966668901
115	0.5966307872
116	0.5965162131
117	0.5964290927
118	0.5963757722
119	0.5962779909
120	0.5961968798
121	0.5961463816
122	0.5960674947
123	0.5960090681
124	0.5959343254
125	0.5958620184
126	0.5957758978
127	0.5957240238
128	0.5956644564
129	0.5956275278
130	0.5955847006
131	0.5955334822
132	0.595460657
133	0.5953978217
134	0.5953526567
135	0.5952879566
136	0.5952323427
137	0.5951815143
138	0.5951449557
139	0.5950350677
140	0.594985795
141	0.5949457963
142	0.5948526275
143	0.5948154822
144	0.5947268016
145	0.5946775012
146	0.594640394
147	0.5946059077
148	0.5945712692
149	0.5945254216
150	0.5944583672
151	0.594419849
152	0.5943431086
153	0.5943087357
154	0.5942414103
155	0.5942111369
156	0.5941594973
157	0.5941422473
158	0.5941082344
159	0.594034986
160	0.5939803212
161	0.5939649945
162	0.5939336747
163	0.593899061
164	0.5938703962
165	0.593837769
166	0.5938016933
167	0.5937504578
168	0.5936997958
169	0.5936538556
170	0.5936219397
171	0.5935689006
172	0.5934983898
173	0.5934573224
174	0.5934216011
175	0.5933841783
176	0.5933079875
177	0.5932287467
178	0.5932001072
179	0.5931400631
180	0.5931184116
181	0.593072602
182	0.59302441
183	0.5929844016
184	0.5929311385
185	0.5928823146
186	0.592832553
187	0.5927961525
188	0.5927372516
189	0.5926993727
190	0.5926558681
191	0.5926180723
192	0.5925912029
193	0.5925450652
194	0.5925035563
195	0.5924759872
196	0.5924503002
197	0.5923760102
198	0.5923528831
199	0.592305451
