iter	Logloss
0	0.6578046047
1	0.6352691108
2	0.6196838647
3	0.606720254
4	0.5996851451
5	0.5915544724
6	0.5844093231
7	0.5782758751
8	0.5735398936
9	0.572536679
10	0.5690433779
11	0.5668567035
12	0.5651583595
13	0.5631934327
14	0.5617987926
15	0.5600923015
16	0.559345311
17	0.5584374349
18	0.5570531574
19	0.5554399578
20	0.5540248899
21	0.5537026368
22	0.5531725301
23	0.5521735021
24	0.5510096191
25	0.5505371926
26	0.5503116404
27	0.5494473219
28	0.5490235027
29	0.5486144996
30	0.5481481536
31	0.5475374586
32	0.5473865197
33	0.5464768
34	0.5459659086
35	0.5451833666
36	0.5451733474
37	0.5447872153
38	0.5445777378
39	0.5440186409
40	0.5434393222
41	0.5422588283
42	0.5419494721
43	0.54169558
44	0.5413950616
45	0.5413627433
46	0.540876791
47	0.5405353334
48	0.5401082022
49	0.5398458057
50	0.5392280394
51	0.5388154018
52	0.5384290826
53	0.5382822432
54	0.5380818484
55	0.5375730814
56	0.5365650258
57	0.5363052345
58	0.5361960477
59	0.5361930441
60	0.5358679631
61	0.5352596686
62	0.5341650049
63	0.5339846357
64	0.5333891723
65	0.5330923113
66	0.532861259
67	0.5326393127
68	0.5323725613
69	0.5322521389
70	0.5320574843
71	0.5316804822
72	0.5309808211
73	0.5306195915
74	0.5303604679
75	0.5300496792
76	0.5294493332
77	0.5291388332
78	0.5284411164
79	0.5279572757
80	0.527682662
81	0.5268665654
82	0.5266822774
83	0.5261816939
84	0.5256040652
85	0.5251543371
86	0.5243162327
87	0.5237242094
88	0.5231189343
89	0.5228844931
90	0.5224433885
91	0.5222274152
92	0.5216151401
93	0.5210306568
94	0.5208037098
95	0.52034046
96	0.5198499109
97	0.5196467832
98	0.5193122852
99	0.5188903482
100	0.5182549811
101	0.5178751547
102	0.5175506983
103	0.5172422326
104	0.5168701381
105	0.5164137364
106	0.5160388097
107	0.5158175363
108	0.5153926481
109	0.5149431406
110	0.5146857991
111	0.5143559743
112	0.5139032354
113	0.513493159
114	0.513399418
115	0.5131349566
116	0.5128959652
117	0.5128959083
118	0.5125467098
119	0.5122290699
120	0.5120034581
121	0.5116301701
122	0.5112702716
123	0.5109299136
124	0.5104121424
