iter	Passed	Remaining
0	77	77029
1	94	47213
2	120	39886
3	142	35552
4	158	31478
5	181	30122
6	205	29099
7	232	28780
8	252	27786
9	266	26423
10	288	25900
11	309	25504
12	332	25261
13	352	24809
14	369	24294
15	391	24092
16	415	24023
17	434	23705
18	453	23440
19	477	23397
20	499	23274
21	524	23305
22	544	23118
23	560	22775
24	581	22695
25	598	22417
26	615	22174
27	671	23295
28	695	23293
29	715	23136
30	737	23049
31	756	22881
32	778	22823
33	800	22735
34	817	22534
35	836	22393
36	845	21999
37	864	21895
38	885	21819
39	902	21666
40	920	21531
41	940	21444
42	957	21314
43	979	21274
44	996	21157
45	1008	20911
46	1032	20926
47	1049	20806
48	1070	20781
49	1086	20648
50	1110	20667
51	1150	20970
52	1168	20876
53	1183	20737
54	1204	20692
55	1225	20650
56	1248	20660
57	1262	20496
58	1290	20579
59	1305	20460
60	1333	20526
61	1365	20661
62	1395	20748
63	1434	20976
64	1458	20982
65	1486	21039
66	1511	21051
67	1544	21165
68	1567	21150
69	1591	21142
70	1613	21117
71	1636	21095
72	1657	21049
73	1683	21066
74	1707	21060
75	1736	21107
76	1760	21103
77	1784	21095
78	1808	21086
79	1832	21078
80	1851	21010
81	1871	20946
82	1898	20980
83	1917	20911
84	1938	20872
85	1969	20929
86	1993	20921
87	2014	20875
88	2038	20865
89	2060	20837
90	2080	20786
91	2110	20830
92	2135	20824
93	2155	20779
94	2179	20762
95	2198	20703
96	2219	20658
97	2239	20614
98	2264	20610
99	2287	20584
100	2315	20608
101	2335	20564
102	2359	20548
103	2390	20595
104	2416	20595
105	2433	20523
106	2460	20534
107	2477	20459
108	2493	20385
109	2520	20393
110	2539	20337
111	2555	20263
112	2575	20213
113	2597	20184
114	2616	20133
115	2642	20137
116	2660	20081
117	2676	20006
118	2696	19966
119	2720	19947
120	2733	19858
121	2752	19812
122	2770	19756
123	2790	19716
124	2808	19661
