iter	Logloss
0	0.680118041
1	0.6681338563
2	0.6578605613
3	0.6482580433
4	0.6396260496
5	0.6318334325
6	0.6241774875
7	0.618520273
8	0.6123432948
9	0.607506521
10	0.6026340503
11	0.5982055402
12	0.5944922682
13	0.5910949876
14	0.5878434651
15	0.585226941
16	0.5828534793
17	0.5805128687
18	0.5782259498
19	0.5763357463
20	0.5748247788
21	0.5728182327
22	0.5716372819
23	0.5702851637
24	0.5691622844
25	0.5676990091
26	0.5666512656
27	0.565676353
28	0.5646293795
29	0.5633607848
30	0.5626556491
31	0.5616063634
32	0.5608567993
33	0.5600634582
34	0.559281988
35	0.5585819703
36	0.5578292221
37	0.5569887062
38	0.5565911723
39	0.5559977284
40	0.5554129556
41	0.5548561057
42	0.5544307406
43	0.5537530959
44	0.5531329195
45	0.5526516125
46	0.5521859819
47	0.5517334328
48	0.5513822832
49	0.5509659641
50	0.550705188
51	0.5503911445
52	0.5498670822
53	0.5495060262
54	0.54899587
55	0.5483893466
56	0.5479263793
57	0.5474490881
58	0.5470691116
59	0.5469007959
60	0.5466566752
61	0.5464228929
62	0.5463804665
63	0.5461356291
64	0.5458111135
65	0.5456861553
66	0.5452905028
67	0.5447822825
68	0.5443596083
69	0.5439996021
70	0.543789995
71	0.5434361181
72	0.5431610191
73	0.5428266192
74	0.5425741121
75	0.542185456
76	0.5419870375
77	0.5417658429
78	0.541600617
79	0.5412612435
80	0.5410658557
81	0.5407964938
82	0.540547214
83	0.5403921031
84	0.5401616188
85	0.5399755556
86	0.5397643518
87	0.5394253025
88	0.5391959801
89	0.5388881347
90	0.5386863366
91	0.5385466603
92	0.5383142371
93	0.5379906703
94	0.5376120545
95	0.5374583659
96	0.5372496238
97	0.5370488222
98	0.5368465174
99	0.5366051894
100	0.5364748352
101	0.5363477112
102	0.5361553998
103	0.5359348392
104	0.5355934581
105	0.5354376511
106	0.5352499267
107	0.5350793524
108	0.5347890403
109	0.5344846577
110	0.5344063032
111	0.5342967134
112	0.5340291988
113	0.5338742479
114	0.533602512
115	0.5332783245
116	0.5331854504
117	0.5328284028
118	0.5326207845
119	0.5324711453
120	0.5323984468
121	0.5323869219
122	0.5323184569
123	0.5321041884
124	0.5318676417
125	0.5316481834
126	0.5315807046
127	0.5314970049
128	0.5314348909
129	0.5312823519
130	0.5311540842
131	0.5309317431
132	0.5307996334
133	0.5306893074
134	0.5305734896
135	0.5304110161
136	0.530133068
137	0.5299301461
138	0.5297132256
139	0.5295726286
140	0.5293903071
141	0.5292109369
142	0.5289828058
143	0.5289071122
144	0.5287684298
145	0.5285223987
146	0.5283660419
147	0.5281553193
148	0.5279936192
149	0.5279234368
150	0.5277464177
151	0.5273791072
152	0.5272322216
153	0.5270438168
